variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,42,GENETICO,190.8929,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,0,42,RECOCIDO_SIMULADO,31.7097,4341,22595.201667,608.868333,219.863333,0,0,true,true,48,26.666667,10480,1452,42.401961,224.368883
BASE,N025-I01,25,1,1,43,RECOCIDO_SIMULADO,33.2084,4461,22577.646667,610.813333,219.668333,0,0,true,true,48,26.666667,10672,1468,42.401961,259.893473
BASE,N025-I01,25,1,1,43,GENETICO,247.6239,9060,22590.005,605.338333,219.846667,0,0,true,true,44,20,10144,1424,42.401961,
