variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,19,61,RECOCIDO_SIMULADO,29.953,4421,22567.341667,611.008333,219.563333,0,0,true,true,48,26.666667,10664,1458,42.401961,250.094095
BASE,N025-I01,25,1,19,61,GENETICO,284.5989,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,20,62,GENETICO,271.2872,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,20,62,RECOCIDO_SIMULADO,29.5941,4461,22575.391667,608.558333,219.668333,0,0,true,true,48,26.666667,9944,1368,42.401961,256.508145
BASE,N025-I01,25,1,21,63,RECOCIDO_SIMULADO,30.422,4421,22633.276667,610.943333,220.223333,0,0,true,true,48,26.666667,9790,1362,42.401961,252.116905
BASE,N025-I01,25,1,21,63,GENETICO,274.4624,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,22,64,GENETICO,132.9524,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,22,64,RECOCIDO_SIMULADO,30.1405,4541,22596.081667,609.748333,219.863333,0,0,true,true,48,26.666667,10576,1460,42.401961,295.767732
BASE,N025-I01,25,1,23,65,RECOCIDO_SIMULADO,31.1727,4581,22618.156667,610.823333,220.073333,0,0,true,true,48,26.666667,11580,1598,42.401961,302.383303
BASE,N025-I01,25,1,23,65,GENETICO,192.8534,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,24,66,GENETICO,256.6797,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,24,66,RECOCIDO_SIMULADO,31.0609,4461,22582.031667,609.198333,219.728333,0,0,true,true,48,26.666667,10280,1408,42.401961,265.749033
BASE,N025-I01,25,1,25,67,RECOCIDO_SIMULADO,29.5409,4461,22554.886667,607.553333,219.473333,0,0,true,true,48,26.666667,10428,1420,42.401961,259.579614
BASE,N025-I01,25,1,25,67,GENETICO,199.3727,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,26,68,GENETICO,206.4175,9060,22535.841667,605.008333,219.308333,0,0,true,true,48,26.666667,10624,1488,42.401961,
