variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
OBJ_B3_ALTO,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,objetivo,13861.8061,11841.03,4382.343717,11175.046667,22633.276667
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,tiempoMs,28.960428,28.8468,1.177554,27.0156,32.7881
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,evaluaciones,4286.866667,4301,147.508101,3941,4621
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.253333,56,7.718353,68,48
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.60075,27.272727,12.4809,52.941176,15.384615
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.843111,114.093333,43.174958,106.766667,220.223333
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.494989,431.696667,72.852915,416.048333,620.543333
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,noAsignados,0,0,0,0,0
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,costo,11141.746667,10740,732.250784,9790,13196
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,distanciaKm,1579.24,1536,117.900577,1352,1872
OBJ_B3_ALTO,RECOCIDO_SIMULADO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
OBJ_B3_ALTO,GENETICO,50,150,100,objetivo,86986.437589,84015.165,7336.641691,80089.986667,106577.598333
OBJ_B3_ALTO,GENETICO,50,150,100,tiempoMs,253.182853,208.20115,92.88465,185.4402,631.6473
OBJ_B3_ALTO,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
OBJ_B3_ALTO,GENETICO,50,150,100,cumplimientoPct,28.066667,28,1.595576,32,26
OBJ_B3_ALTO,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.894153,12.903226,3.562326,17.647059,7.142857
OBJ_B3_ALTO,GENETICO,50,150,100,retrasoHoras,849.3839,824.968333,66.096763,784.846667,1046.353333
OBJ_B3_ALTO,GENETICO,50,150,100,tiempoAtencionHoras,1681.380922,1722.056667,109.354152,1515.943333,1942.265
OBJ_B3_ALTO,GENETICO,50,150,100,noAsignados,0.366667,0,0.814439,0,3
OBJ_B3_ALTO,GENETICO,50,150,100,costo,15531.56,15582,1007.810381,14012,17416
OBJ_B3_ALTO,GENETICO,50,150,100,distanciaKm,2318.813333,2279,172.528468,2086,2698
OBJ_B3_ALTO,GENETICO,50,150,100,utilizacionPct,63.620915,64.460784,5.191426,74.019608,54.166667
OBJ_B3_ALTO,RECOCIDO_SIMULADO,50,150,100,objetivo,88087.875322,83866.193333,9480.772441,79959.465,106671.755
