variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I02,25,2,5,47,RECOCIDO_SIMULADO,28.2252,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,223.851387
BASE,N025-I02,25,2,6,48,RECOCIDO_SIMULADO,26.3758,4061,11836.526667,443.693333,113.928333,0,0,true,true,56,15.384615,10730,1582,31.617647,152.632083
BASE,N025-I02,25,2,7,49,RECOCIDO_SIMULADO,27.4288,4061,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,155.172926
BASE,N025-I02,25,2,8,50,RECOCIDO_SIMULADO,28.423,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,224.231177
BASE,N025-I02,25,2,9,51,RECOCIDO_SIMULADO,28.9154,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,208.591285
BASE,N025-I02,25,2,10,52,RECOCIDO_SIMULADO,29.534,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,241.140038
BASE,N025-I02,25,2,11,53,RECOCIDO_SIMULADO,27.533,4261,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,203.540001
BASE,N025-I02,25,2,12,54,RECOCIDO_SIMULADO,29.7636,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,235.728053
BASE,N025-I02,25,2,13,55,RECOCIDO_SIMULADO,28.1514,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,224.90306
BASE,N025-I02,25,2,14,56,RECOCIDO_SIMULADO,27.2857,4221,11834.506667,441.673333,113.928333,0,0,true,true,56,15.384615,11452,1652,31.617647,195.2042
BASE,N025-I02,25,2,15,57,RECOCIDO_SIMULADO,29.2719,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,228.545875
