variante,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,30,22550.744833,22578.639389,25,5,0,0.000008,GANA_GENETICO,9060,4470.333333,277.804153,29.000227,0.000056,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,30,106102.184722,106485.7255,29,1,0,0.000009,GANA_GENETICO,9060,4831.666667,241.688553,49.445237,0.000232,GANA_GENETICO
BASE,100,GENETICO,RECOCIDO_SIMULADO,30,410246.083389,550595.668111,30,0,0,0,GANA_GENETICO,9060,4866.333333,930.259127,155.440517,0,GANA_GENETICO
