variante,escenario,escenario_operativo,perfil_presion,nivel,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,tamano_efecto_r,interpretacion_efecto,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,2,291.6125,298.711667,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,1821,712.0522,19.2492,0.5,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,2,978.943333,993.1925,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,2661,397.3632,34.9395,0.5,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,2,84.455833,86.263333,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,821,607.2205,7.8473,0.5,MUESTRA_INSUFICIENTE
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,2,437.848333,382.6325,1,1,0,1,0.316228,MEDIANO,MUESTRA_INSUFICIENTE,9060,1001,726.15945,20.67275,1,MUESTRA_INSUFICIENTE
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,2,1336.389167,1288.750833,1,1,0,1,0.316228,MEDIANO,MUESTRA_INSUFICIENTE,9060,1781,398.3485,35.1306,1,MUESTRA_INSUFICIENTE
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,2,84.455833,86.263333,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,821,622.1224,8.2585,0.5,MUESTRA_INSUFICIENTE
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,1,190,GENETICO,RECOCIDO_SIMULADO,2,757021.594167,1003189.929167,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,4681,2780.23915,777.2425,0.5,MUESTRA_INSUFICIENTE
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,1,275,GENETICO,RECOCIDO_SIMULADO,2,1135805.063333,1563578.459167,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,4581,4238.02995,1401.6097,0.5,MUESTRA_INSUFICIENTE
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,1,125,GENETICO,RECOCIDO_SIMULADO,2,467205.153333,619372.141667,2,0,0,0.5,0.948683,GRANDE,MUESTRA_INSUFICIENTE,9060,4921,1720.34465,403.10475,0.5,MUESTRA_INSUFICIENTE
