variante,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,300,13443.962533,13448.457139,184,67,49,0.00001,GANA_GENETICO,9060,4353,249.855274,29.198041,0.000022,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,300,77684.7397,78357.53775,168,122,10,0.011779,GANA_GENETICO,9060,4847,223.86137,50.414079,0.629634,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,100,GENETICO,RECOCIDO_SIMULADO,300,258912.03875,367275.773706,300,0,0,0,GANA_GENETICO,9060,4746.733333,795.217722,164.269727,0,GANA_GENETICO
