variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,16,793,RECOCIDO_SIMULADO,28.0522,4341,22565.026667,605.693333,219.593333,0,0,true,true,48,26.666667,10452,1476,42.401961,219.344637
BASE,N025-I01,25,1,17,794,RECOCIDO_SIMULADO,29.6324,4421,22609.16,608.493333,220.006667,0,0,true,true,52,33.333333,11244,1560,42.401961,249.848103
BASE,N025-I01,25,1,17,794,GENETICO,228.8595,9060,22555.786667,605.453333,219.503333,0,0,true,true,48,26.666667,10700,1504,42.401961,
BASE,N025-I01,25,1,18,795,GENETICO,172.1364,9060,22571.01,605.843333,219.651667,0,0,true,true,44,20,10276,1434,42.401961,
BASE,N025-I01,25,1,18,795,RECOCIDO_SIMULADO,29.2994,4541,22593.725,609.058333,219.846667,0,0,true,true,44,20,10448,1462,42.401961,294.590429
BASE,N025-I01,25,1,19,796,RECOCIDO_SIMULADO,28.9139,4541,22603.261667,609.428333,219.938333,0,0,true,true,48,26.666667,10976,1506,42.401961,295.625577
BASE,N025-I01,25,1,19,796,GENETICO,149.0392,9060,22571.01,605.843333,219.651667,0,0,true,true,44,20,10276,1434,42.401961,
BASE,N025-I01,25,1,20,797,GENETICO,260.5718,9060,22570.536667,605.203333,219.653333,0,0,true,true,48,26.666667,10932,1538,42.401961,
BASE,N025-I01,25,1,20,797,RECOCIDO_SIMULADO,30.0192,4461,22597.576667,615.243333,219.823333,0,0,true,true,48,26.666667,11208,1488,42.401961,261.292197
BASE,N025-I01,25,1,21,798,RECOCIDO_SIMULADO,28.8717,4461,22582.016667,612.183333,219.698333,0,0,true,true,48,26.666667,11076,1512,42.401961,264.613151
BASE,N025-I01,25,1,21,798,GENETICO,128.0693,9060,22581.265,605.598333,219.756667,0,0,true,true,44,20,10264,1436,42.401961,
BASE,N025-I01,25,1,22,799,GENETICO,166.3854,9060,22609.143333,605.643333,220.035,0,0,true,true,48,26.666667,10508,1468,42.401961,
BASE,N025-I01,25,1,22,799,RECOCIDO_SIMULADO,27.1047,4221,22576.255,611.588333,219.646667,0,0,true,true,52,33.333333,9872,1310,42.401961,189.374301
BASE,N025-I01,25,1,23,800,RECOCIDO_SIMULADO,28.6133,4461,22568.331667,610.498333,219.578333,0,0,true,true,48,26.666667,10200,1418,42.401961,256.533446
BASE,N025-I01,25,1,23,800,GENETICO,144.3552,9060,22590.705,606.038333,219.846667,0,0,true,true,44,20,10224,1434,42.401961,
BASE,N025-I01,25,1,24,801,GENETICO,138.0799,9060,22605.181667,605.348333,219.998333,0,0,true,true,48,26.666667,10528,1494,42.401961,
BASE,N025-I01,25,1,24,801,RECOCIDO_SIMULADO,29.8558,4621,22580.481667,621.148333,219.593333,0,0,true,true,48,26.666667,11208,1494,42.401961,324.842347
BASE,N025-I01,25,1,25,802,RECOCIDO_SIMULADO,30.8123,4341,22594.726667,608.393333,219.863333,0,0,true,true,48,26.666667,9700,1342,42.401961,224.224667
BASE,N025-I01,25,1,25,802,GENETICO,156.9241,9060,22640.121667,606.288333,220.338333,0,0,true,true,48,26.666667,10496,1468,42.401961,
BASE,N025-I01,25,1,26,803,GENETICO,189.9686,9060,22570.986667,605.653333,219.653333,0,0,true,true,48,26.666667,10836,1526,42.401961,
BASE,N025-I01,25,1,26,803,RECOCIDO_SIMULADO,28.9636,4461,22630.565,610.398333,220.201667,0,0,true,true,52,33.333333,10736,1510,42.401961,258.61266
BASE,N025-I01,25,1,27,804,RECOCIDO_SIMULADO,29.7864,4541,22627.251667,608.418333,220.188333,0,0,true,true,48,26.666667,9752,1326,42.401961,283.530057
BASE,N025-I01,25,1,27,804,GENETICO,257.6119,9060,22535.841667,605.008333,219.308333,0,0,true,true,48,26.666667,10624,1488,42.401961,
BASE,N025-I01,25,1,28,805,GENETICO,157.286,9060,22640.121667,606.288333,220.338333,0,0,true,true,48,26.666667,10496,1468,42.401961,
BASE,N025-I01,25,1,28,805,RECOCIDO_SIMULADO,31.2258,4501,22565.626667,609.293333,219.563333,0,0,true,true,48,26.666667,10916,1484,42.401961,278.524851
BASE,N025-I01,25,1,29,806,RECOCIDO_SIMULADO,30.2998,4541,22607.595,606.928333,220.006667,0,0,true,true,52,33.333333,10584,1472,42.401961,286.564797
BASE,N025-I01,25,1,29,806,GENETICO,105.3622,9060,22640.121667,606.288333,220.338333,0,0,true,true,48,26.666667,10496,1468,42.401961,
BASE,N025-I02,25,2,0,777,GENETICO,144.1517,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,0,777,RECOCIDO_SIMULADO,29.7767,4301,11832.316667,439.483333,113.928333,0,0,true,true,56,15.384615,10152,1458,31.617647,209.904327
BASE,N025-I02,25,2,1,778,RECOCIDO_SIMULADO,27.8218,4101,11835,442.166667,113.928333,0,0,true,true,56,15.384615,10738,1516,31.617647,166.343481
BASE,N025-I02,25,2,1,778,GENETICO,119.0666,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,2,779,GENETICO,119.6736,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,2,779,RECOCIDO_SIMULADO,28.189,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,231.476944
BASE,N025-I02,25,2,3,780,RECOCIDO_SIMULADO,28.6313,4301,11832.631667,439.798333,113.928333,0,0,true,true,56,15.384615,11276,1640,31.617647,212.015227
