variante,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,150,13865.396856,13861.8061,58,41,51,0.49277,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4286.866667,219.034457,28.847198,0.445639,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,50,GENETICO,RECOCIDO_SIMULADO,150,86986.437589,88087.875322,81,67,2,0.072713,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4866.333333,253.509793,51.830835,0.362698,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,100,GENETICO,RECOCIDO_SIMULADO,150,307278.158644,435194.237678,150,0,0,0,GANA_GENETICO,9060,4746.333333,854.57331,172.871032,0,GANA_GENETICO
