variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
GA_POB100,GENETICO,50,150,100,cumplimientoPct,28.12,28,1.658495,32,26
GA_POB100,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.979159,12.903226,3.658948,17.647059,3.571429
GA_POB100,GENETICO,50,150,100,retrasoHoras,844.939289,824.643333,59.494923,784.526667,1014.838333
GA_POB100,GENETICO,50,150,100,tiempoAtencionHoras,1675.100467,1720.719167,103.56229,1514.713333,1872.07
GA_POB100,GENETICO,50,150,100,noAsignados,0.46,0,1.007555,0,4
GA_POB100,GENETICO,50,150,100,costo,15514.32,15507,972.660037,14002,17494
GA_POB100,GENETICO,50,150,100,distanciaKm,2314.866667,2286,161.194437,2096,2674
GA_POB100,GENETICO,50,150,100,utilizacionPct,63.405229,64.460784,5.003549,71.568627,54.166667
GA_GEN80,GENETICO,25,150,100,objetivo,13865.561678,11841.03,4383.048866,11174.456667,22697.865
GA_GEN80,GENETICO,25,150,100,tiempoMs,151.226651,127.9879,69.348519,73.4762,412.4978
GA_GEN80,GENETICO,25,150,100,evaluaciones,4860,4860,0,4860,4860
GA_GEN80,GENETICO,25,150,100,cumplimientoPct,58.266667,56,8.687464,68,44
GA_GEN80,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.066109,27.272727,12.759255,52.941176,15.384615
GA_GEN80,GENETICO,25,150,100,retrasoHoras,133.911244,114.093333,43.194495,106.766667,220.906667
GA_GEN80,GENETICO,25,150,100,tiempoAtencionHoras,474.437233,431.696667,72.141293,414.818333,607.198333
GA_GEN80,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_GEN80,GENETICO,25,150,100,costo,11364.666667,10852,959.565608,10068,13420
GA_GEN80,GENETICO,25,150,100,distanciaKm,1629.88,1536,150.485609,1408,1934
GA_GEN80,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_GEN80,GENETICO,50,150,100,objetivo,87023.818367,84032.380833,7359.382672,80144.581667,106577.598333
GA_GEN80,GENETICO,50,150,100,tiempoMs,181.117895,154.74155,58.695039,132.4976,389.314
GA_GEN80,GENETICO,50,150,100,evaluaciones,4860,4860,0,4860,4860
GA_GEN80,GENETICO,50,150,100,cumplimientoPct,27.906667,28,1.66022,32,26
GA_GEN80,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.656961,12.903226,3.337349,17.647059,7.142857
GA_GEN80,GENETICO,50,150,100,retrasoHoras,849.754111,825.1425,66.313317,785.381667,1046.353333
GA_GEN80,GENETICO,50,150,100,tiempoAtencionHoras,1681.740589,1722.406667,109.368274,1516.443333,1942.265
GA_GEN80,GENETICO,50,150,100,noAsignados,0.366667,0,0.814439,0,3
GA_GEN80,GENETICO,50,150,100,costo,15527.106667,15582,1001.042719,14012,17416
GA_GEN80,GENETICO,50,150,100,distanciaKm,2318.28,2288,172.211362,2084,2698
GA_GEN80,GENETICO,50,150,100,utilizacionPct,63.620915,64.460784,5.191426,74.019608,54.166667
GA_GEN300,GENETICO,25,150,100,objetivo,13862.971511,11841.03,4380.566228,11174.456667,22662.846667
GA_GEN300,GENETICO,25,150,100,tiempoMs,297.578909,235.8905,159.69005,163.2011,1163.399
GA_GEN300,GENETICO,25,150,100,evaluaciones,18060,18060,0,18060,18060
GA_GEN300,GENETICO,25,150,100,cumplimientoPct,58.426667,56,8.506095,68,44
GA_GEN300,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.322318,27.272727,12.676107,52.941176,15.384615
GA_GEN300,GENETICO,25,150,100,retrasoHoras,133.885844,114.093333,43.170187,106.766667,220.563333
GA_GEN300,GENETICO,25,150,100,tiempoAtencionHoras,474.387067,431.696667,72.095876,414.818333,606.513333
GA_GEN300,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_GEN300,GENETICO,25,150,100,costo,11379.893333,10852,956.192106,10068,13420
GA_GEN300,GENETICO,25,150,100,distanciaKm,1632.266667,1536,149.839407,1408,1934
GA_GEN300,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_GEN300,GENETICO,50,150,100,objetivo,86934.503067,84000.065,7308.414622,80083.12,106577.598333
GA_GEN300,GENETICO,50,150,100,tiempoMs,353.024961,294.11575,127.389301,270.1548,978.9503
GA_GEN300,GENETICO,50,150,100,evaluaciones,18060,18060,0,18060,18060
GA_GEN300,GENETICO,50,150,100,cumplimientoPct,28.093333,28,1.5773,32,26
GA_GEN300,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.933369,12.903226,3.598303,17.647059,7.142857
GA_GEN300,GENETICO,50,150,100,retrasoHoras,848.869589,824.818333,65.826972,784.773333,1046.353333
GA_GEN300,GENETICO,50,150,100,tiempoAtencionHoras,1680.877511,1721.676667,109.310513,1515.915,1942.265
GA_GEN300,GENETICO,50,150,100,noAsignados,0.366667,0,0.814439,0,3
GA_GEN300,GENETICO,50,150,100,costo,15512.893333,15513,1006.135287,14012,17416
GA_GEN300,GENETICO,50,150,100,distanciaKm,2316.386667,2272,170.988707,2086,2698
GA_GEN300,GENETICO,50,150,100,utilizacionPct,63.620915,64.460784,5.191426,74.019608,54.166667
GA_MUT005,GENETICO,25,150,100,objetivo,13861.205478,11841.03,4382.947929,11174.456667,22690.205
GA_MUT005,GENETICO,25,150,100,tiempoMs,220.972527,191.29715,108.49123,102.8614,564.7718
GA_MUT005,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_MUT005,GENETICO,25,150,100,cumplimientoPct,58.48,56,8.337447,68,44
GA_MUT005,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.432122,27.272727,12.524948,52.941176,15.384615
GA_MUT005,GENETICO,25,150,100,retrasoHoras,133.868711,114.093333,43.194202,106.766667,220.846667
GA_MUT005,GENETICO,25,150,100,tiempoAtencionHoras,474.334367,431.696667,72.0629,414.818333,606.518333
GA_MUT005,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_MUT005,GENETICO,25,150,100,costo,11392.826667,10958,893.296412,10068,13420
GA_MUT005,GENETICO,25,150,100,distanciaKm,1635.293333,1576,139.605607,1408,1934
GA_MUT005,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_MUT005,GENETICO,50,150,100,objetivo,86946.540289,83948.134167,7404.120225,80011.05,104193.938333
GA_MUT005,GENETICO,50,150,100,tiempoMs,236.592653,203.1817,70.970248,179.1881,474.0475
GA_MUT005,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_MUT005,GENETICO,50,150,100,cumplimientoPct,28.173333,28,1.65374,32,26
GA_MUT005,GENETICO,50,150,100,cumplimientoPrioritariosPct,13.068773,12.903226,3.634061,17.647059,7.142857
GA_MUT005,GENETICO,50,150,100,retrasoHoras,848.988489,824.304167,66.689154,784.065,1013.233333
GA_MUT005,GENETICO,50,150,100,tiempoAtencionHoras,1681.024733,1721.36,109.504221,1513.743333,1871.125
GA_MUT005,GENETICO,50,150,100,noAsignados,0.366667,0,0.797788,0,3
GA_MUT005,GENETICO,50,150,100,costo,15558.08,15612,1009.734416,14080,17766
GA_MUT005,GENETICO,50,150,100,distanciaKm,2326.48,2311,163.571495,2082,2724
GA_MUT005,GENETICO,50,150,100,utilizacionPct,63.619281,64.460784,5.172369,71.813725,54.166667
GA_MUT02,GENETICO,25,150,100,objetivo,13852.218656,11841.03,4372.984272,11174.456667,22566.806667
GA_MUT02,GENETICO,25,150,100,tiempoMs,237.580745,206.3811,112.902084,121.3384,580.1849
GA_MUT02,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_MUT02,GENETICO,25,150,100,cumplimientoPct,59.013333,56,7.904622,68,48
GA_MUT02,GENETICO,25,150,100,cumplimientoPrioritariosPct,31.237351,27.272727,12.470391,52.941176,15.384615
GA_MUT02,GENETICO,25,150,100,retrasoHoras,133.779889,114.093333,43.094757,106.766667,219.623333
GA_MUT02,GENETICO,25,150,100,tiempoAtencionHoras,474.229767,431.696667,72.066717,414.818333,605.353333
GA_MUT02,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_MUT02,GENETICO,25,150,100,costo,11413.573333,10836,957.950597,10160,13420
GA_MUT02,GENETICO,25,150,100,distanciaKm,1637.666667,1536,150.231574,1468,1934
GA_MUT02,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_MUT02,GENETICO,50,150,100,objetivo,86772.698633,83856.723333,7220.131061,79932.81,106348.205
GA_MUT02,GENETICO,50,150,100,tiempoMs,259.537203,224.79905,93.529732,178.8343,665.5903
GA_MUT02,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_MUT02,GENETICO,50,150,100,cumplimientoPct,28.36,28,1.967112,32,26
GA_MUT02,GENETICO,50,150,100,cumplimientoPrioritariosPct,13.371746,14.814815,3.732472,17.647059,7.142857
GA_MUT02,GENETICO,50,150,100,retrasoHoras,847.146956,823.41,64.820457,783.303333,1044.076667
GA_MUT02,GENETICO,50,150,100,tiempoAtencionHoras,1678.003078,1718.038333,108.371204,1514.336667,1940.538333
GA_MUT02,GENETICO,50,150,100,noAsignados,0.38,0,0.848765,0,3
GA_MUT02,GENETICO,50,150,100,costo,15503.986667,15225,1059.652862,14126,17788
GA_MUT02,GENETICO,50,150,100,distanciaKm,2326.8,2267,164.94571,2046,2672
GA_MUT02,GENETICO,50,150,100,utilizacionPct,63.596405,64.460784,5.168024,74.019608,54.166667
GA_CRUZ07,GENETICO,25,150,100,objetivo,13875.491422,11841.03,4388.128916,11174.456667,22697.865
GA_CRUZ07,GENETICO,25,150,100,tiempoMs,160.774503,131.1582,67.750826,92.3271,433.2619
GA_CRUZ07,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_CRUZ07,GENETICO,25,150,100,cumplimientoPct,58.053333,56,8.862701,68,44
GA_CRUZ07,GENETICO,25,150,100,cumplimientoPrioritariosPct,29.736697,27.272727,12.790387,52.941176,15.384615
GA_CRUZ07,GENETICO,25,150,100,retrasoHoras,134.009089,114.093333,43.245461,106.766667,220.906667
GA_CRUZ07,GENETICO,25,150,100,tiempoAtencionHoras,474.582533,431.696667,72.104113,415.493333,607.198333
GA_CRUZ07,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_CRUZ07,GENETICO,25,150,100,costo,11332.16,10832,930.392874,10016,13388
GA_CRUZ07,GENETICO,25,150,100,distanciaKm,1624.093333,1536,146.004015,1412,1934
GA_CRUZ07,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_CRUZ07,GENETICO,50,150,100,objetivo,86915.248111,84008.703333,7250.179536,80167.756667,106545.155
GA_CRUZ07,GENETICO,50,150,100,tiempoMs,209.909638,187.6827,58.571625,165.4232,442.4897
GA_CRUZ07,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_CRUZ07,GENETICO,50,150,100,cumplimientoPct,27.96,28,1.492172,32,26
GA_CRUZ07,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.73797,12.903226,3.416634,17.647059,7.142857
GA_CRUZ07,GENETICO,50,150,100,retrasoHoras,848.416589,824.9075,65.576019,785.616667,1046.026667
GA_CRUZ07,GENETICO,50,150,100,tiempoAtencionHoras,1680.255889,1721.726667,109.290766,1516.223333,1942.488333
GA_CRUZ07,GENETICO,50,150,100,noAsignados,0.393333,0,0.904104,0,4
GA_CRUZ07,GENETICO,50,150,100,costo,15545.746667,15584,1034.695048,13880,17424
GA_CRUZ07,GENETICO,50,150,100,distanciaKm,2318.226667,2288,175.918001,2054,2662
GA_CRUZ07,GENETICO,50,150,100,utilizacionPct,63.566993,64.460784,5.194826,74.019608,54.166667
GA_ELIT3,GENETICO,25,150,100,objetivo,13866.907422,11841.03,4381.828327,11174.456667,22697.865
GA_ELIT3,GENETICO,25,150,100,tiempoMs,212.314568,152.6015,118.475383,96.5716,609.1204
GA_ELIT3,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_ELIT3,GENETICO,25,150,100,cumplimientoPct,58.373333,56,8.533823,68,44
GA_ELIT3,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.243887,27.272727,12.663208,52.941176,15.384615
GA_ELIT3,GENETICO,25,150,100,retrasoHoras,133.924689,114.093333,43.182359,106.766667,220.906667
GA_ELIT3,GENETICO,25,150,100,tiempoAtencionHoras,474.438533,431.696667,72.149548,414.818333,607.198333
GA_ELIT3,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_ELIT3,GENETICO,25,150,100,costo,11389.173333,10852,932.194702,10100,13420
GA_ELIT3,GENETICO,25,150,100,distanciaKm,1632.853333,1536,146.082324,1412,1934
GA_ELIT3,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_ELIT3,GENETICO,50,150,100,objetivo,86517.065722,84009.9975,6604.351037,80092.928333,106545.155
GA_ELIT3,GENETICO,50,150,100,tiempoMs,247.846857,202.0347,97.52499,174.4159,622.9443
GA_ELIT3,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_ELIT3,GENETICO,50,150,100,cumplimientoPct,28.08,28,1.58652,32,26
GA_ELIT3,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.923928,12.903226,3.544931,17.647059,7.142857
GA_ELIT3,GENETICO,50,150,100,retrasoHoras,844.142578,824.925833,58.809656,784.865,1046.026667
GA_ELIT3,GENETICO,50,150,100,tiempoAtencionHoras,1676.141278,1721.726667,104.453055,1514.185,1942.488333
GA_ELIT3,GENETICO,50,150,100,noAsignados,0.426667,0,0.964794,0,4
GA_ELIT3,GENETICO,50,150,100,costo,15472.333333,15578,978.223933,14012,17168
GA_ELIT3,GENETICO,50,150,100,distanciaKm,2308.48,2286,162.416431,2084,2600
GA_ELIT3,GENETICO,50,150,100,utilizacionPct,63.486928,64.460784,5.079362,74.019608,54.166667
GA_TORNEO4,GENETICO,25,150,100,objetivo,13888.936256,11841.03,4402.823616,11174.456667,22697.865
GA_TORNEO4,GENETICO,25,150,100,tiempoMs,130.399187,111.5425,53.95422,93.6906,456.1206
GA_TORNEO4,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_TORNEO4,GENETICO,25,150,100,cumplimientoPct,57.893333,56,9.054011,68,44
GA_TORNEO4,GENETICO,25,150,100,cumplimientoPrioritariosPct,29.475259,27.272727,12.891224,52.941176,15.384615
GA_TORNEO4,GENETICO,25,150,100,retrasoHoras,134.141122,114.093333,43.389883,106.766667,220.906667
GA_TORNEO4,GENETICO,25,150,100,tiempoAtencionHoras,474.824033,431.696667,72.331777,415.018333,607.198333
GA_TORNEO4,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_TORNEO4,GENETICO,25,150,100,costo,11351.866667,10740,977.941453,10028,13572
GA_TORNEO4,GENETICO,25,150,100,distanciaKm,1626.84,1536,150.782348,1406,1958
GA_TORNEO4,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_TORNEO4,GENETICO,50,150,100,objetivo,86982.601044,84040.415,7313.600083,80167.306667,106545.155
GA_TORNEO4,GENETICO,50,150,100,tiempoMs,205.068027,186.3261,53.021323,164.954,505.8993
GA_TORNEO4,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_TORNEO4,GENETICO,50,150,100,cumplimientoPct,27.933333,28,1.436189,32,26
GA_TORNEO4,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.694959,12.903226,3.39375,17.647059,7.142857
GA_TORNEO4,GENETICO,50,150,100,retrasoHoras,849.325811,825.218333,66.053083,785.616667,1046.026667
GA_TORNEO4,GENETICO,50,150,100,tiempoAtencionHoras,1683.353267,1722.426667,111.419409,1516.323333,1942.488333
GA_TORNEO4,GENETICO,50,150,100,noAsignados,0.366667,0,0.822638,0,3
GA_TORNEO4,GENETICO,50,150,100,costo,15525.506667,15710,1052.82324,13876,17458
GA_TORNEO4,GENETICO,50,150,100,distanciaKm,2311.173333,2288,175.629749,2096,2652
GA_TORNEO4,GENETICO,50,150,100,utilizacionPct,63.648693,64.460784,5.229094,74.019608,54.166667
GA_VORAZ02,GENETICO,25,150,100,objetivo,13848.518578,11824.615,4372.328528,11174.456667,22627.38
GA_VORAZ02,GENETICO,25,150,100,tiempoMs,499.620037,512.99055,157.217802,214.2349,872.5595
GA_VORAZ02,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_VORAZ02,GENETICO,25,150,100,cumplimientoPct,58.986667,56,7.94865,68,44
GA_VORAZ02,GENETICO,25,150,100,cumplimientoPrioritariosPct,31.192906,27.272727,12.498639,52.941176,15.384615
GA_VORAZ02,GENETICO,25,150,100,retrasoHoras,133.744278,113.928333,43.087565,106.766667,220.221667
GA_VORAZ02,GENETICO,25,150,100,tiempoAtencionHoras,474.0908,431.781667,72.123708,414.818333,605.213333
GA_VORAZ02,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_VORAZ02,GENETICO,25,150,100,costo,11435.36,11416,877.717734,10088,13572
GA_VORAZ02,GENETICO,25,150,100,distanciaKm,1642.28,1634,138.781278,1468,1958
GA_VORAZ02,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_VORAZ02,GENETICO,50,150,100,objetivo,86053.872011,83855.194167,6165.019148,78991.313333,104182.953333
GA_VORAZ02,GENETICO,50,150,100,tiempoMs,567.0015,562.72335,153.785635,221.5123,1046.179
GA_VORAZ02,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_VORAZ02,GENETICO,50,150,100,cumplimientoPct,28.16,28,2.040134,32,26
GA_VORAZ02,GENETICO,50,150,100,cumplimientoPrioritariosPct,13.152264,14.814815,3.57592,17.647059,7.142857
GA_VORAZ02,GENETICO,50,150,100,retrasoHoras,838.222133,823.386667,53.143837,763.105,1013.113333
GA_VORAZ02,GENETICO,50,150,100,tiempoAtencionHoras,1664.992011,1715.873333,96.600217,1472.823333,1871.62
GA_VORAZ02,GENETICO,50,150,100,noAsignados,0.566667,0,1.172485,0,5
GA_VORAZ02,GENETICO,50,150,100,costo,15272.68,14902,955.535194,13758,17512
GA_VORAZ02,GENETICO,50,150,100,distanciaKm,2284.413333,2227,167.080786,2004,2698
GA_VORAZ02,GENETICO,50,150,100,utilizacionPct,63.143791,64.460784,4.802715,71.813725,54.166667
GA_VORAZ08,GENETICO,25,150,100,objetivo,13887.360244,11841.03,4399.01527,11174.456667,22697.865
GA_VORAZ08,GENETICO,25,150,100,tiempoMs,137.405323,110.39845,70.580403,92.5273,490.7556
GA_VORAZ08,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
GA_VORAZ08,GENETICO,25,150,100,cumplimientoPct,57.946667,56,9.006923,68,44
GA_VORAZ08,GENETICO,25,150,100,cumplimientoPrioritariosPct,29.55892,27.272727,12.878439,52.941176,15.384615
GA_VORAZ08,GENETICO,25,150,100,retrasoHoras,134.125644,114.093333,43.352484,106.766667,220.906667
GA_VORAZ08,GENETICO,25,150,100,tiempoAtencionHoras,474.7958,431.696667,72.266849,415.018333,607.198333
GA_VORAZ08,GENETICO,25,150,100,noAsignados,0,0,0,0,0
GA_VORAZ08,GENETICO,25,150,100,costo,11342.4,10740,966.466476,10020,13420
GA_VORAZ08,GENETICO,25,150,100,distanciaKm,1625.826667,1536,148.918055,1402,1934
GA_VORAZ08,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
GA_VORAZ08,GENETICO,50,150,100,objetivo,87441.120533,84027.79,8256.029855,80022.801667,106671.755
GA_VORAZ08,GENETICO,50,150,100,tiempoMs,191.356637,175.65155,48.238137,161.0035,508.7846
GA_VORAZ08,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
GA_VORAZ08,GENETICO,50,150,100,cumplimientoPct,28.013333,28,1.380529,32,26
GA_VORAZ08,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.812606,12.903226,3.511166,17.647059,7.142857
GA_VORAZ08,GENETICO,50,150,100,retrasoHoras,855.4949,825.093333,78.757276,784.181667,1047.276667
GA_VORAZ08,GENETICO,50,150,100,tiempoAtencionHoras,1691.630533,1722.501667,125.202035,1515.973333,1944.088333
GA_VORAZ08,GENETICO,50,150,100,noAsignados,0.2,0,0.590757,0,3
GA_VORAZ08,GENETICO,50,150,100,costo,15581.106667,15710,1069.123496,14132,17216
GA_VORAZ08,GENETICO,50,150,100,distanciaKm,2323.666667,2288,184.843764,2096,2620
GA_VORAZ08,GENETICO,50,150,100,utilizacionPct,64.027778,64.460784,5.730104,74.019608,54.166667
