variante,tamanio,algoritmo_A,algoritmo_B,pares,mediana_cumplimiento_A,mediana_cumplimiento_B,victorias_cumplimiento_A,victorias_cumplimiento_B,empates_cumplimiento,p_wilcoxon_cumplimiento,tamano_efecto_r,interpretacion_efecto,veredicto_cumplimiento,media_F_A,media_F_B,victorias_F_A,victorias_F_B,empates_F,p_wilcoxon_F,veredicto_F,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,30,48,48,0,8,22,0.005962,1,GRANDE,GANA_GENETICO,22560.45,22592.246889,23,7,0,0.000011,GANA_GENETICO,9060,4474.333333,736.710053,187.299363,0.000099,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,30,28,28,0,0,30,,,NO_APLICA,SIN_DIFERENCIA_SIGNIFICATIVA,106201.982056,106571.446167,25,5,0,0.000004,GANA_GENETICO,9060,4905,1689.822643,670.283347,0.001583,GANA_GENETICO
BASE,100,GENETICO,RECOCIDO_SIMULADO,30,13,6,30,0,0,0.000001,0.884536,GRANDE,GANA_RECOCIDO_SIMULADO,407898.158222,553459.621444,30,0,0,0,GANA_GENETICO,9060,4793,1613.051253,390.802877,0,GANA_GENETICO
