escenario,tamanio,instancia,instante,primer_pedido,ultimo_pedido,cantidad_total_qq,capacidad_disponible_qq,ratio_demanda_capacidad,prioritarios,vehiculos_disponibles,vehiculos_en_mantenimiento,bloqueos_activos
N025-I01,25,1,2026-01-03T01:13,2026-01-01T01:30,2026-01-03T01:13,173,408,0.42402,15,37,,2
N025-I02,25,2,2026-01-04T11:58,2026-01-03T04:20,2026-01-04T11:58,129,408,0.316176,13,37,,4
N025-I03,25,3,2026-01-05T20:58,2026-01-04T13:36,2026-01-05T20:58,117,408,0.286765,17,37,,4
N050-I01,50,1,2026-01-04T11:58,2026-01-01T01:30,2026-01-04T11:58,302,408,0.740196,28,37,,4
N050-I02,50,2,2026-01-07T02:37,2026-01-04T13:36,2026-01-07T02:37,221,408,0.541667,34,37,,1
N050-I03,50,3,2026-01-09T20:42,2026-01-07T04:10,2026-01-09T20:42,263,408,0.644608,27,37,,1
N100-I01,100,1,2026-01-07T02:37,2026-01-01T01:30,2026-01-07T02:37,523,408,1.281863,62,37,,1
N100-I02,100,2,2026-01-12T17:26,2026-01-07T04:10,2026-01-12T17:26,525,408,1.286765,58,37,,3
N100-I03,100,3,2026-01-17T22:55,2026-01-12T17:32,2026-01-17T22:55,548,408,1.343137,64,37,,1
