variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,100,45,66.666667,utilizacionPct,90.337691,90.441176,2.279237,95.098039,85.04902
BASE,RECOCIDO_SIMULADO,100,45,33.333333,objetivo,572359.851778,574538.666667,16024.253833,551747.005,593334.761667
BASE,RECOCIDO_SIMULADO,100,45,33.333333,tiempoMs,762.662208,744.710038,255.006737,427.65587,1157.648281
BASE,RECOCIDO_SIMULADO,100,45,33.333333,evaluaciones,4701.888889,4701,157.13084,4381,5101
BASE,RECOCIDO_SIMULADO,100,45,33.333333,cumplimientoPct,7.222222,6,1.881596,11,5
BASE,RECOCIDO_SIMULADO,100,45,33.333333,cumplimientoPrioritariosPct,2.277337,1.612903,0.895297,3.448276,1.5625
BASE,RECOCIDO_SIMULADO,100,45,33.333333,retrasoHoras,4721.055519,4763.911667,82.824058,4604.003333,4810.8
BASE,RECOCIDO_SIMULADO,100,45,33.333333,tiempoAtencionHoras,6365.411037,6353.636667,112.20972,6146.828333,6532.705
BASE,RECOCIDO_SIMULADO,100,45,33.333333,noAsignados,17.444444,17,1.803476,15,21
BASE,RECOCIDO_SIMULADO,100,45,33.333333,costo,22092.177778,21616,1205.484423,20398,24498
BASE,RECOCIDO_SIMULADO,100,45,33.333333,distanciaKm,3560.222222,3484,203.53254,3280,3984
BASE,RECOCIDO_SIMULADO,100,45,33.333333,utilizacionPct,97.45098,97.303922,0.876578,98.284314,95.833333
