variante,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,45,15493.137111,15503.684148,28,8,9,0.002761,GANA_GENETICO,9060,4373.888889,1028.15233,231.277203,0.015899,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,45,89674.720667,89884.547815,36,9,0,0,GANA_GENETICO,9060,4919.666667,1070.823767,372.761647,0.000007,GANA_GENETICO
BASE,100,GENETICO,RECOCIDO_SIMULADO,45,440549.741593,572359.851778,45,0,0,0,GANA_GENETICO,9060,4701.888889,2788.439662,762.662208,0,GANA_GENETICO
